bank_link|pr_id|pr_link
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/elizabeth.html|PR-116-2009|https://www.fdic.gov/news/press-releases/2009/pr09116.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockriver.html|PR-115-2009|https://www.fdic.gov/news/press-releases/2009/pr09115.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/winchester.html|PR-114-2009|https://www.fdic.gov/news/press-releases/2009/pr09114.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/warner.html|PR-113-2009|https://www.fdic.gov/news/press-releases/2009/pr09113.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mirae.html|PR-105-2009|https://www.fdic.gov/news/press-releases/2009/pr09105.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metropacific.html|PR-104-2009|https://www.fdic.gov/news/press-releases/2009/pr09104.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon.html|PR-103-2009|https://www.fdic.gov/news/press-releases/2009/pr09103.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/neighbor.html|PR-102-2009|https://www.fdic.gov/news/press-releases/2009/pr09102.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communityga.html|PR-101-2009|https://www.fdic.gov/news/press-releases/2009/pr09101.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/anthony.html|PR-096-2009|https://www.fdic.gov/news/press-releases/2009/pr09096.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cooperative.html|PR-095-2009|https://www.fdic.gov/news/press-releases/2009/pr09095.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/scb.html|PR-094-2009|https://www.fdic.gov/news/press-releases/2009/pr09094.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincolnwood.html|PR-086-2009|https://www.fdic.gov/news/press-releases/2009/pr09086.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensnational.html|PR-076-2009|https://www.fdic.gov/news/press-releases/2009/pr09076.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/strategiccapital.html|PR-075-2009|https://www.fdic.gov/news/press-releases/2009/pr09075.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankunited.html|PR-072-2009|https://www.fdic.gov/news/press-releases/2009/pr09072.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westsound.html|PR-069-2009|https://www.fdic.gov/news/press-releases/2009/pr09069.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americawest.html|PR-063-2009|https://www.fdic.gov/news/press-releases/2009/pr09063.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens.html|PR-062-2009|https://www.fdic.gov/news/press-releases/2009/pr09062.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silverton.html|PR-061-2009|https://www.fdic.gov/news/press-releases/2009/pr09061.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstbankidaho.html|PR-060-2009|https://www.fdic.gov/news/press-releases/2009/pr09060.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beverlyhills.html|PR-059-2009|https://www.fdic.gov/news/press-releases/2009/pr09059.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/michiganheritage.html|PR-058-2009|https://www.fdic.gov/news/press-releases/2009/pr09058.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsouthern.html|PR-057-2009|https://www.fdic.gov/news/press-releases/2009/pr09057.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/greatbasin.html|PR-055-2009|https://www.fdic.gov/news/press-releases/2009/pr09055.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amsterling.html|PR-054-2009|https://www.fdic.gov/news/press-releases/2009/pr09054.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newfrontier.html|PR-053-2009 )|https://www.fdic.gov/news/press-releases/2009/pr09053.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/capefear.html|PR-052-2009|https://www.fdic.gov/news/press-releases/2009/pr09052.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/omni.html|PR-050-2009|https://www.fdic.gov/news/press-releases/2009/pr09050.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/teambank.html|PR-046-2009|https://www.fdic.gov/news/press-releases/2009/pr09046.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coloradonational.html|PR-045-2009|https://www.fdic.gov/news/press-releases/2009/pr09045.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcity.html|PR-044-2009|https://www.fdic.gov/news/press-releases/2009/pr09044.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/freedomga.html|PR-037-2009|https://www.fdic.gov/news/press-releases/2009/pr09037.html
https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/securitysavings.html|PR-032-2009|https://www.fdic.gov/news/press-releases/2009/pr09032.html
